head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z
-1.865982055664062500e+01,4.592733154296875000e+02,2.235658203125000000e+03,-2.438841629028320312e+01,9.617684364318847656e+00,2.297926513671875000e+03,-2.119120597839355469e+01,-1.887816467285156250e+02,2.319907714843750000e+03,1.278535461425781250e+02,2.879158020019531250e+02,2.268502441406250000e+03,2.252159271240234375e+02,5.051843566894531250e+02,2.133761474609375000e+03,9.318292236328125000e+01,2.905466308593750000e+02,2.174069824218750000e+03,-1.688937072753906250e+02,2.831226806640625000e+02,2.270838134765625000e+03,-2.650551757812500000e+02,5.008140563964843750e+02,2.135651367187500000e+03,-2.221586761474609375e+02,7.518273315429687500e+02,2.120828613281250000e+03,7.292680358886718750e+01,-2.882456665039062500e+02,2.342806884765625000e+03,1.271297073364257812e+02,-6.849561767578125000e+02,2.248904785156250000e+03,1.812087097167968750e+02,-1.036629638671875000e+03,2.364932861328125000e+03,-1.126678695678710938e+02,-2.923739929199218750e+02,2.332444824218750000e+03,-1.612201232910156250e+02,-6.907855224609375000e+02,2.242660400390625000e+03,-1.813690032958984375e+02,-1.046516967773437500e+03,2.357318359375000000e+03
-1.861734390258789062e+01,4.545921936035156250e+02,2.232637207031250000e+03,-2.265681838989257812e+01,5.572531223297119141e+00,2.299656494140625000e+03,-2.042871856689453125e+01,-1.927865600585937500e+02,2.322171142578125000e+03,1.292973327636718750e+02,2.835268554687500000e+02,2.266007324218750000e+03,2.325068359375000000e+02,4.967413330078125000e+02,2.129146728515625000e+03,8.430143737792968750e+01,2.938158569335937500e+02,2.173268066406250000e+03,-1.689188690185546875e+02,2.779154663085937500e+02,2.270692138671875000e+03,-2.655884704589843750e+02,4.924037780761718750e+02,2.130885253906250000e+03,-2.228479309082031250e+02,7.433908691406250000e+02,2.115380371093750000e+03,7.443435668945312500e+01,-2.913813171386718750e+02,2.345760253906250000e+03,1.307644653320312500e+02,-6.863870239257812500e+02,2.246057861328125000e+03,1.811777038574218750e+02,-1.037544921875000000e+03,2.365265869140625000e+03,-1.127713699340820312e+02,-2.955256652832031250e+02,2.335470947265625000e+03,-1.633307189941406250e+02,-6.925173950195312500e+02,2.240573974609375000e+03,-1.814739379882812500e+02,-1.047681884765625000e+03,2.357319824218750000e+03
-1.858926200866699219e+01,4.491445617675781250e+02,2.229320556640625000e+03,-2.068905067443847656e+01,8.874019980430603027e-01,2.301502685546875000e+03,-1.955600738525390625e+01,-1.973917694091796875e+02,2.324460205078125000e+03,1.309114227294921875e+02,2.783832092285156250e+02,2.263118164062500000e+03,2.409104766845703125e+02,4.867909851074218750e+02,2.124170898437500000e+03,7.456385803222656250e+01,2.993430480957031250e+02,2.171787353515625000e+03,-1.688981475830078125e+02,2.718833923339843750e+02,2.270393554687500000e+03,-2.660854187011718750e+02,4.828527221679687500e+02,2.125730957031250000e+03,-2.235687255859375000e+02,7.338152465820312500e+02,2.109410400390625000e+03,7.596810913085937500e+01,-2.951019592285156250e+02,2.348894287109375000e+03,1.348668975830078125e+02,-6.881201782226562500e+02,2.243046386718750000e+03,1.811363067626953125e+02,-1.038672851562500000e+03,2.365694091796875000e+03,-1.127196884155273438e+02,-2.992282104492187500e+02,2.338705078125000000e+03,-1.656983184814453125e+02,-6.945095825195312500e+02,2.238184326171875000e+03,-1.815938568115234375e+02,-1.048974121093750000e+03,2.357339111328125000e+03
-1.860064125061035156e+01,4.424838256835937500e+02,2.225710449218750000e+03,-1.836369705200195312e+01,-4.843107700347900391e+00,2.303489501953125000e+03,-1.850656890869140625e+01,-2.030315704345703125e+02,2.326631591796875000e+03,1.328107757568359375e+02,2.720465087890625000e+02,2.259640380859375000e+03,2.510103302001953125e+02,4.745156555175781250e+02,2.118641113281250000e+03,6.370574951171875000e+01,3.089304504394531250e+02,2.169023437500000000e+03,-1.688184509277343750e+02,2.645478210449218750e+02,2.269859619140625000e+03,-2.665432128906250000e+02,4.715516967773437500e+02,2.119980957031250000e+03,-2.243099975585937500e+02,7.224851684570312500e+02,2.102670410156250000e+03,7.758104705810546875e+01,-2.998019714355468750e+02,2.352298339843750000e+03,1.396501922607421875e+02,-6.904453735351562500e+02,2.239789306640625000e+03,1.810837249755859375e+02,-1.040223022460937500e+03,2.366315429687500000e+03,-1.124770431518554688e+02,-3.038558044433593750e+02,2.342242187500000000e+03,-1.684354858398437500e+02,-6.969942016601562500e+02,2.235277832031250000e+03,-1.817415008544921875e+02,-1.050525512695312500e+03,2.357438476562500000e+03
-1.869676208496093750e+01,4.345550231933593750e+02,2.221903076171875000e+03,-1.580238533020019531e+01,-1.169024753570556641e+01,2.305477294921875000e+03,-1.730151748657226562e+01,-2.097854156494140625e+02,2.328635742187500000e+03,1.349423522949218750e+02,2.644434814453125000e+02,2.255736083984375000e+03,2.622961120605468750e+02,4.599087524414062500e+02,2.112743164062500000e+03,5.280212020874023438e+01,3.242070007324218750e+02,2.164302001953125000e+03,-1.686700286865234375e+02,2.559154052734375000e+02,2.269031494140625000e+03,-2.669235534667968750e+02,4.586885070800781250e+02,2.113856201171875000e+03,-2.249869537353515625e+02,7.095819702148437500e+02,2.095418701171875000e+03,7.923923492431640625e+01,-3.056141357421875000e+02,2.355812255859375000e+03,1.449056701660156250e+02,-6.935782470703125000e+02,2.236440673828125000e+03,1.810249328613281250e+02,-1.042366333007812500e+03,2.367221191406250000e+03,-1.120556564331054688e+02,-3.095182800292968750e+02,2.345904296875000000e+03,-1.714119415283203125e+02,-7.001004028320312500e+02,2.231835205078125000e+03,-1.819196319580078125e+02,-1.052393676757812500e+03,2.357717529296875000e+03
-1.892512321472167969e+01,4.253991699218750000e+02,2.218030761718750000e+03,-1.326245117187500000e+01,-1.966632270812988281e+01,2.307355957031250000e+03,-1.598567485809326172e+01,-2.176753997802734375e+02,2.330542968750000000e+03,1.371512603759765625e+02,2.555666503906250000e+02,2.251787109375000000e+03,2.734686584472656250e+02,4.433194580078125000e+02,2.106601806640625000e+03,4.366961288452148438e+01,3.457785034179687500e+02,2.157115478515625000e+03,-1.684540252685546875e+02,2.461322479248046875e+02,2.267897705078125000e+03,-2.672023315429687500e+02,4.445892639160156250e+02,2.107576171875000000e+03,-2.255274963378906250e+02,6.954272460937500000e+02,2.087919921875000000e+03,8.096342468261718750e+01,-3.125617980957031250e+02,2.359300781250000000e+03,1.503163299560546875e+02,-6.976735839843750000e+02,2.233117431640625000e+03,1.809653930664062500e+02,-1.045218139648437500e+03,2.368479980468750000e+03,-1.115583724975585938e+02,-3.162412719726562500e+02,2.349532226562500000e+03,-1.744510650634765625e+02,-7.039262084960937500e+02,2.227902587890625000e+03,-1.821256103515625000e+02,-1.054629638671875000e+03,2.358290039062500000e+03
-1.931995010375976562e+01,4.150170593261718750e+02,2.214234130859375000e+03,-1.104657459259033203e+01,-2.883280563354492188e+01,2.309091064453125000e+03,-1.460688114166259766e+01,-2.267668457031250000e+02,2.332470947265625000e+03,1.392431945800781250e+02,2.453763275146484375e+02,2.248234130859375000e+03,2.829088134765625000e+02,4.253234558105468750e+02,2.100177734375000000e+03,3.827498626708984375e+01,3.728257751464843750e+02,2.147237792968750000e+03,-1.681731719970703125e+02,2.353165740966796875e+02,2.266476562500000000e+03,-2.673730773925781250e+02,4.294513854980468750e+02,2.101235351562500000e+03,-2.258963928222656250e+02,6.802135620117187500e+02,2.080285156250000000e+03,8.283840942382812500e+01,-3.206395263671875000e+02,2.362728271484375000e+03,1.556263885498046875e+02,-7.028250122070312500e+02,2.229840576171875000e+03,1.809076232910156250e+02,-1.048833007812500000e+03,2.370129638671875000e+03,-1.111258773803710938e+02,-3.240406799316406250e+02,2.353063964843750000e+03,-1.774270324707031250e+02,-7.085571899414062500e+02,2.223539306640625000e+03,-1.823509063720703125e+02,-1.057271606445312500e+03,2.359247802734375000e+03
-1.989982223510742188e+01,4.034018249511718750e+02,2.210642822265625000e+03,-9.393832206726074219e+00,-3.925112915039062500e+01,2.310681396484375000e+03,-1.320440578460693359e+01,-2.371012268066406250e+02,2.334514404296875000e+03,1.410554199218750000e+02,2.338534698486328125e+02,2.245416748046875000e+03,2.892389831542968750e+02,4.066916809082031250e+02,2.093385742187500000e+03,3.809185791015625000e+01,4.032428283691406250e+02,2.134771484375000000e+03,-1.678190765380859375e+02,2.235616149902343750e+02,2.264795898437500000e+03,-2.674283752441406250e+02,4.133907165527343750e+02,2.094872558593750000e+03,-2.260791168212890625e+02,6.640521850585937500e+02,2.072534667968750000e+03,8.492768859863281250e+01,-3.298027954101562500e+02,2.366072753906250000e+03,1.606457519531250000e+02,-7.090524291992187500e+02,2.226602294921875000e+03,1.808511505126953125e+02,-1.053203491210937500e+03,2.372171875000000000e+03,-1.108657608032226562e+02,-3.329063415527343750e+02,2.356465820312500000e+03,-1.802557983398437500e+02,-7.140305786132812500e+02,2.218825927734375000e+03,-1.825831298828125000e+02,-1.060327148437500000e+03,2.360644531250000000e+03
-2.066689682006835938e+01,3.906148376464843750e+02,2.207469482421875000e+03,-8.410681724548339844e+00,-5.092799758911132812e+01,2.312118408203125000e+03,-1.181284236907958984e+01,-2.486709289550781250e+02,2.336613037109375000e+03,1.425240173339843750e+02,2.210309143066406250e+02,2.243458251953125000e+03,2.917185058593750000e+02,3.881618041992187500e+02,2.086212402343750000e+03,4.362788009643554688e+01,4.342166748046875000e+02,2.120129150390625000e+03,-1.673704681396484375e+02,2.109437408447265625e+02,2.262882080078125000e+03,-2.673552246093750000e+02,3.964868469238281250e+02,2.088509521484375000e+03,-2.260702056884765625e+02,6.470161743164062500e+02,2.064642822265625000e+03,8.724482727050781250e+01,-3.399618225097656250e+02,2.369300048828125000e+03,1.652409820556640625e+02,-7.163100585937500000e+02,2.223400146484375000e+03,1.807921600341796875e+02,-1.058273071289062500e+03,2.374582031250000000e+03,-1.108225631713867188e+02,-3.427831726074218750e+02,2.359703857421875000e+03,-1.828793487548828125e+02,-7.203372802734375000e+02,2.213867187500000000e+03,-1.828060913085937500e+02,-1.063767211914062500e+03,2.362498046875000000e+03
-2.160387802124023438e+01,3.768142700195312500e+02,2.204939208984375000e+03,-8.056701660156250000e+00,-6.378462600708007812e+01,2.313378906250000000e+03,-1.045582389831542969e+01,-2.614072265625000000e+02,2.338572509765625000e+03,1.437032623291015625e+02,2.070128326416015625e+02,2.242262207031250000e+03,2.903348999023437500e+02,3.701977539062500000e+02,2.078743896484375000e+03,5.437043762207031250e+01,4.628445739746093750e+02,2.103943115234375000e+03,-1.668023986816406250e+02,1.975490417480468750e+02,2.260762451171875000e+03,-2.671437072753906250e+02,3.788178405761718750e+02,2.082162109375000000e+03,-2.258663330078125000e+02,6.291742553710937500e+02,2.056548583984375000e+03,8.976317596435546875e+01,-3.509763793945312500e+02,2.372368896484375000e+03,1.693421020507812500e+02,-7.244945068359375000e+02,2.220228759765625000e+03,1.807272949218750000e+02,-1.063949218750000000e+03,2.377305664062500000e+03,-1.110010681152343750e+02,-3.535656433105468750e+02,2.362746826171875000e+03,-1.852665557861328125e+02,-7.274215087890625000e+02,2.208767333984375000e+03,-1.830017547607421875e+02,-1.067543212890625000e+03,2.364790283203125000e+03
-2.266795539855957031e+01,3.622103881835937500e+02,2.203060058593750000e+03,-8.192686080932617188e+00,-7.763578033447265625e+01,2.314426513671875000e+03,-9.156930923461914062e+00,-2.751467590332031250e+02,2.340264648437500000e+03,1.447205505371093750e+02,1.919876403808593750e+02,2.241572753906250000e+03,2.857084655761718750e+02,3.528880920410156250e+02,2.071105712890625000e+03,6.906327056884765625e+01,4.863481445312500000e+02,2.086893066406250000e+03,-1.660953826904296875e+02,1.835024719238281250e+02,2.258463378906250000e+03,-2.667943725585937500e+02,3.605094604492187500e+02,2.075843750000000000e+03,-2.254636383056640625e+02,6.106373901367187500e+02,2.048188476562500000e+03,9.243762969970703125e+01,-3.626583557128906250e+02,2.375239257812500000e+03,1.729450225830078125e+02,-7.334512939453125000e+02,2.217082519531250000e+03,1.806521759033203125e+02,-1.070111572265625000e+03,2.380262939453125000e+03,-1.113867416381835938e+02,-3.650874633789062500e+02,2.365573486328125000e+03,-1.874112701416015625e+02,-7.351873168945312500e+02,2.203624511718750000e+03,-1.831495513916015625e+02,-1.071585449218750000e+03,2.367464599609375000e+03
-2.379921150207519531e+01,3.470552673339843750e+02,2.201704345703125000e+03,-8.626433372497558594e+00,-9.222454071044921875e+01,2.315220214843750000e+03,-7.938087940216064453e+00,-2.896484680175781250e+02,2.341604003906250000e+03,1.457163391113281250e+02,1.761979370117187500e+02,2.241075683593750000e+03,2.788562622070312500e+02,3.359931945800781250e+02,2.063467529296875000e+03,8.608135223388671875e+01,5.027582397460937500e+02,2.069586669921875000e+03,-1.652386474609375000e+02,1.689719390869140625e+02,2.256001708984375000e+03,-2.663150634765625000e+02,3.417471618652343750e+02,2.069579833984375000e+03,-2.248556976318359375e+02,5.915755004882812500e+02,2.039512207031250000e+03,9.520164489746093750e+01,-3.747832336425781250e+02,2.377866699218750000e+03,1.760754089355468750e+02,-7.429846191406250000e+02,2.213960205078125000e+03,1.805646514892578125e+02,-1.076620849609375000e+03,2.383350585937500000e+03,-1.119533081054687500e+02,-3.771380920410156250e+02,2.368160400390625000e+03,-1.893153381347656250e+02,-7.434943847656250000e+02,2.198530517578125000e+03,-1.832298126220703125e+02,-1.075812133789062500e+03,2.370439941406250000e+03
