parent,child,length
head,torso,453.9522621525088
torso,waist,199.1633730425778
torso,l_shoulder,318.3950812795339
torso,r_shoulder,310.247081552647
l_shoulder,l_elbow,273.5284710469642
l_elbow,l_wrist,255.02106400993625
r_shoulder,r_elbow,273.52886064006094
r_elbow,r_wrist,255.02108193814098
waist,l_hip,138.5555388234263
waist,r_hip,138.47639051368623
l_hip,l_knee,411.05824612227394
l_knee,l_ankle,374.19554036830795
r_hip,r_knee,411.0578142124049
r_knee,r_ankle,374.19537798001994
