frame,head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z,left_knee_valgus_deg,right_knee_valgus_deg,back_arch_deg,torso_lean_deg
0,-18.6598,459.2733,2235.6582,-24.3884,9.6177,2297.9265,-21.1912,-188.7816,2319.9077,127.8535,287.9158,2268.5024,225.2159,505.1844,2133.7615,93.1829,290.5466,2174.0698,-168.8937,283.1227,2270.8381,-265.0552,500.8141,2135.6514,-222.1587,751.8273,2120.8286,72.9268,-288.2457,2342.8069,127.1297,-684.9562,2248.9048,181.2087,-1036.6296,2364.9329,-112.6679,-292.3740,2332.4448,-161.2201,-690.7855,2242.6604,-181.3690,-1046.5170,2357.3184,0.45,-1.74,3.58,-7.41
1,-18.6173,454.5922,2232.6372,-22.6568,5.5725,2299.6565,-20.4287,-192.7866,2322.1711,129.2973,283.5269,2266.0073,232.5068,496.7413,2129.1467,84.3014,293.8159,2173.2681,-168.9189,277.9155,2270.6921,-265.5885,492.4038,2130.8853,-222.8479,743.3909,2115.3804,74.4344,-291.3813,2345.7603,130.7645,-686.3870,2246.0579,181.1777,-1037.5449,2365.2659,-112.7714,-295.5257,2335.4709,-163.3307,-692.5174,2240.5740,-181.4739,-1047.6819,2357.3198,0.03,-2.03,3.91,-7.87
2,-18.5893,449.1446,2229.3206,-20.6891,0.8874,2301.5027,-19.5560,-197.3918,2324.4602,130.9114,278.3832,2263.1182,240.9105,486.7910,2124.1709,74.5639,299.3430,2171.7874,-168.8981,271.8834,2270.3936,-266.0854,482.8527,2125.7310,-223.5687,733.8152,2109.4104,75.9681,-295.1020,2348.8943,134.8669,-688.1202,2243.0464,181.1363,-1038.6729,2365.6941,-112.7197,-299.2282,2338.7051,-165.6983,-694.5096,2238.1843,-181.5939,-1048.9741,2357.3391,-0.47,-2.38,4.37,-8.37
3,-18.6006,442.4838,2225.7104,-18.3637,-4.8431,2303.4895,-18.5066,-203.0316,2326.6316,132.8108,272.0465,2259.6404,251.0103,474.5157,2118.6411,63.7057,308.9305,2169.0234,-168.8185,264.5478,2269.8596,-266.5432,471.5517,2119.9810,-224.3100,722.4852,2102.6704,77.5810,-299.8020,2352.2983,139.6502,-690.4454,2239.7893,181.0837,-1040.2230,2366.3154,-112.4770,-303.8558,2342.2422,-168.4355,-696.9942,2235.2778,-181.7415,-1050.5255,2357.4385,-1.06,-2.79,5.14,-8.89
4,-18.6968,434.5550,2221.9031,-15.8024,-11.6902,2305.4773,-17.3015,-209.7854,2328.6357,134.9424,264.4435,2255.7361,262.2961,459.9088,2112.7432,52.8021,324.2070,2164.3020,-168.6700,255.9154,2269.0315,-266.9236,458.6885,2113.8562,-224.9870,709.5820,2095.4187,79.2392,-305.6141,2355.8123,144.9057,-693.5782,2236.4407,181.0249,-1042.3663,2367.2212,-112.0557,-309.5183,2345.9043,-171.4119,-700.1004,2231.8352,-181.9196,-1052.3937,2357.7175,-1.72,-3.25,6.14,-9.41
5,-18.9251,425.3992,2218.0308,-13.2625,-19.6663,2307.3560,-15.9857,-217.6754,2330.5430,137.1513,255.5667,2251.7871,273.4687,443.3195,2106.6018,43.6696,345.7785,2157.1155,-168.4540,246.1322,2267.8977,-267.2023,444.5893,2107.5762,-225.5275,695.4272,2087.9199,80.9634,-312.5618,2359.3008,150.3163,-697.6736,2233.1174,180.9654,-1045.2181,2368.4800,-111.5584,-316.2413,2349.5322,-174.4511,-703.9262,2227.9026,-182.1256,-1054.6296,2358.2900,-2.41,-3.74,7.19,-9.92
6,-19.3200,415.0171,2214.2341,-11.0466,-28.8328,2309.0911,-14.6069,-226.7668,2332.4709,139.2432,245.3763,2248.2341,282.9088,425.3235,2100.1777,38.2750,372.8258,2147.2378,-168.1732,235.3166,2266.4766,-267.3731,429.4514,2101.2354,-225.8964,680.2136,2080.2852,82.8384,-320.6395,2362.7283,155.6264,-702.8250,2229.8406,180.9076,-1048.8330,2370.1296,-111.1259,-324.0407,2353.0640,-177.4270,-708.5572,2223.5393,-182.3509,-1057.2716,2359.2478,-3.09,-4.22,8.16,-10.44
7,-19.8998,403.4018,2210.6428,-9.3938,-39.2511,2310.6814,-13.2044,-237.1012,2334.5144,141.0554,233.8535,2245.4167,289.2390,406.6917,2093.3857,38.0919,403.2428,2134.7715,-167.8191,223.5616,2264.7959,-267.4284,413.3907,2094.8726,-226.0791,664.0522,2072.5347,84.9277,-329.8028,2366.0728,160.6458,-709.0524,2226.6023,180.8512,-1053.2035,2372.1719,-110.8658,-332.9063,2356.4658,-180.2558,-714.0306,2218.8259,-182.5831,-1060.3271,2360.6445,-3.71,-4.67,8.98,-10.95
8,-20.6669,390.6148,2207.4695,-8.4107,-50.9280,2312.1184,-11.8128,-248.6709,2336.6130,142.5240,221.0309,2243.4583,291.7185,388.1618,2086.2124,43.6279,434.2167,2120.1292,-167.3705,210.9437,2262.8821,-267.3552,396.4868,2088.5095,-226.0702,647.0162,2064.6428,87.2448,-339.9618,2369.3000,165.2410,-716.3101,2223.4001,180.7922,-1058.2731,2374.5820,-110.8226,-342.7832,2359.7039,-182.8793,-720.3373,2213.8672,-182.8061,-1063.7672,2362.4980,-4.25,-5.08,9.68,-11.42
9,-21.6039,376.8143,2204.9392,-8.0567,-63.7846,2313.3789,-10.4558,-261.4072,2338.5725,143.7033,207.0128,2242.2622,290.3349,370.1978,2078.7439,54.3704,462.8446,2103.9431,-166.8024,197.5490,2260.7625,-267.1437,378.8178,2082.1621,-225.8663,629.1743,2056.5486,89.7632,-350.9764,2372.3689,169.3421,-724.4945,2220.2288,180.7273,-1063.9492,2377.3057,-111.0011,-353.5656,2362.7468,-185.2666,-727.4215,2208.7673,-183.0018,-1067.5432,2364.7903,-4.72,-5.45,10.43,-11.83
