frame,head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z,left_knee_valgus_deg,right_knee_valgus_deg,back_arch_deg,torso_lean_deg
0,-45.6487,450.6382,2244.8342,-31.3071,28.4857,2489.5989,-32.4768,-182.5464,2476.0984,133.7118,281.4219,2426.4238,203.9592,457.2160,2225.1458,200.0090,694.8011,2116.8389,-215.8926,265.3134,2413.1350,-272.0647,441.2774,2204.7942,-243.1310,685.8190,2111.2214,84.0509,-274.0742,2547.0691,156.6877,-691.4491,2447.0271,242.3683,-1025.4895,2416.8777,-131.2878,-308.2819,2498.6367,-183.3210,-714.0555,2352.0103,-214.5965,-1034.6693,2451.0894,1.98,-0.76,26.95,-20.06
1,-46.8235,443.9507,2243.1812,-32.8910,22.4226,2488.9917,-32.1831,-188.6764,2479.2947,132.6774,273.6748,2421.1360,207.7641,445.1995,2217.8965,199.9338,684.8373,2114.4275,-215.7427,258.7405,2407.1328,-273.3951,433.9664,2198.7102,-243.8005,679.3921,2107.5745,84.3884,-280.1407,2550.0581,159.1324,-693.1941,2435.6150,242.5423,-1028.5239,2418.1934,-131.7508,-312.8988,2506.1021,-185.2570,-714.9949,2350.1479,-214.4716,-1034.3984,2453.6812,1.64,-1.03,26.97,-20.47
2,-48.1923,436.2417,2241.2314,-34.4942,15.3921,2488.1870,-31.8063,-195.7337,2482.8740,131.3395,264.9382,2415.2385,211.7502,431.8710,2210.2412,199.8442,673.3327,2111.6089,-215.4434,251.1050,2400.7280,-274.8686,425.5096,2192.2021,-244.6856,671.8881,2103.8804,84.7099,-287.3879,2553.3743,161.6962,-695.2135,2423.1995,242.7269,-1031.4260,2419.9961,-132.0991,-318.2632,2514.2761,-187.4698,-715.9720,2348.1104,-214.3148,-1033.9320,2456.5349,1.27,-1.36,26.89,-20.92
3,-49.8359,426.9573,2238.9932,-36.1293,6.8407,2487.2236,-31.3466,-204.2748,2486.7903,129.5399,254.6203,2408.3987,216.0618,416.4562,2201.9390,199.7436,659.5083,2108.0940,-214.9434,241.8312,2393.7798,-276.5395,415.2863,2185.1138,-245.9135,662.7072,2100.0627,85.0295,-296.2819,2557.0811,164.4673,-697.6100,2409.3850,242.8987,-1034.1261,2422.4336,-132.2972,-324.7686,2523.4609,-190.0829,-717.0653,2345.7097,-214.1274,-1033.2371,2459.6941,0.86,-1.78,26.84,-21.43
4,-51.6892,416.2332,2236.6250,-37.6455,-3.1402,2486.1482,-30.8482,-214.1758,2490.7070,127.2835,242.9474,2400.9128,220.4682,399.4586,2193.4102,199.6506,643.7186,2103.8108,-214.2631,231.0920,2386.8645,-278.2947,403.4547,2178.0095,-247.5423,651.9489,2096.3694,85.3897,-306.5104,2560.8787,167.2601,-700.2870,2395.1040,243.0197,-1036.2997,2425.3452,-132.3735,-332.3221,2533.0676,-192.9501,-718.2952,2342.8984,-213.9543,-1032.4402,2462.8169,0.43,-2.26,26.89,-21.95
5,-53.6299,404.3963,2234.1086,-38.8667,-14.1759,2484.9915,-30.4034,-225.0270,2494.4299,124.7098,230.4416,2393.2666,224.6578,381.6847,2185.1328,199.6108,626.6835,2098.7852,-213.5008,219.3564,2380.6831,-279.9875,390.4556,2171.5317,-249.5728,639.9673,2093.0520,85.8831,-317.4566,2564.4927,169.8567,-703.1302,2381.4180,243.0896,-1037.8047,2428.3774,-132.4184,-340.6316,2542.3306,-195.8927,-719.7288,2339.6804,-213.8492,-1031.7368,2465.4468,0.03,-2.77,26.99,-22.47
6,-55.5416,391.8133,2231.3984,-39.6641,-25.8460,2483.7695,-30.0555,-236.4125,2497.8413,122.0301,217.6284,2385.9170,228.3730,363.8153,2177.4204,199.6727,609.0892,2093.0681,-212.7825,207.1337,2375.7695,-281.5026,376.7299,2166.1006,-251.9568,627.1366,2090.2590,86.5931,-328.5110,2567.7661,172.1065,-706.0606,2368.9885,243.1489,-1038.7599,2431.1260,-132.6048,-349.4012,2550.6592,-198.7538,-721.4307,2336.1025,-213.8615,-1031.3733,2467.2095,-0.32,-3.26,27.08,-22.98
7,-57.3225,378.8571,2228.4597,-39.9903,-37.7175,2482.5425,-29.8197,-247.9329,2500.8684,119.4662,204.9751,2379.2520,231.4250,346.4109,2170.4573,199.8946,591.5408,2086.7253,-212.2182,194.9114,2372.4333,-282.7639,362.6641,2161.8855,-254.5968,613.8204,2088.0688,87.5885,-339.1963,2570.6338,173.9328,-709.0297,2358.1101,243.2517,-1039.4230,2433.2590,-133.0803,-358.3054,2557.6807,-201.4497,-723.4515,2332.2432,-214.0131,-1031.5559,2467.8887,-0.59,-3.72,27.14,-23.49
8,-58.8912,365.9004,2225.3335,-39.8815,-49.4032,2481.3911,-29.6506,-259.2354,2503.4954,117.2082,192.8509,2373.5540,233.7101,329.9125,2164.3389,200.3306,574.5314,2079.8359,-211.8723,183.1041,2370.7356,-283.7373,348.5622,2158.8293,-257.3560,600.3359,2086.4871,88.8735,-349.1760,2573.0510,175.3224,-712.0243,2348.8174,243.4396,-1040.0768,2434.5967,-133.9692,-367.0381,2563.2217,-203.9352,-725.7933,2328.2085,-214.2727,-1032.3538,2467.4990,-0.77,-4.12,27.16,-23.99
9,-60.1982,353.3187,2222.1924,-39.4402,-60.6102,2480.3423,-29.4959,-270.0611,2505.7390,115.3853,181.5008,2368.9724,235.2045,314.6322,2159.0911,201.0326,558.4131,2072.4958,-211.7499,172.0031,2370.5015,-284.4290,334.6413,2156.7051,-260.0735,586.9266,2085.4463,90.4364,-358.3190,2575.0022,176.3120,-715.0701,2340.9971,243.7279,-1040.9551,2435.1562,-135.3176,-375.3360,2567.2493,-206.2200,-728.4416,2324.1069,-214.5928,-1033.7782,2466.1719,-0.86,-4.46,27.13,-24.46
10,-61.2207,341.3842,2219.1477,-38.8049,-71.1408,2479.4067,-29.2755,-280.2103,2507.7148,114.0583,171.0452,2365.5247,235.9552,300.7332,2154.6760,202.0476,543.3844,2064.8267,-211.8090,161.7605,2371.3752,-284.8799,321.0417,2155.1956,-262.5925,573.7624,2084.8000,92.2100,-366.6243,2576.5085,176.9713,-718.2275,2334.4761,244.1031,-1042.2068,2435.1426,-137.1187,-383.0229,2569.8079,-208.3282,-731.3882,2320.0366,-214.9297,-1035.7520,2464.2341,-0.86,-4.72,26.96,-24.90
11,-61.9593,330.2426,2216.2668,-38.1024,-80.8919,2478.5872,-28.9256,-289.5787,2509.5208,113.2270,161.4883,2363.0896,236.0631,288.2426,2150.9902,203.4110,529.4955,2056.9668,-211.9842,152.3990,2372.9026,-285.1645,307.8547,2153.9795,-264.7774,560.9539,2084.3506,94.1142,-374.2328,2577.6531,177.3853,-721.5644,2329.0762,244.5326,-1043.8789,2434.9016,-139.2901,-390.0076,2570.9707,-210.3070,-734.6233,2316.0369,-215.2413,-1038.1255,2462.0627,-0.80,-4.93,26.57,-25.32
12,-62.4390,319.9406,2213.5750,-37.4199,-89.8557,2477.8706,-28.3857,-298.1548,2511.1750,112.8370,152.7455,2361.4487,235.6630,277.0590,2147.8813,205.1413,516.6791,2049.0332,-212.2058,143.8378,2374.6338,-285.3667,295.1482,2152.8013,-266.5427,548.5685,2083.8799,96.0241,-381.3199,2578.5496,177.6420,-725.1246,2324.6235,244.9777,-1045.9181,2434.8413,-141.6980,-396.2870,2570.8411,-212.1894,-738.1152,2312.1006,-215.4998,-1040.7194,2459.9722,-0.70,-5.09,25.94,-25.71
13,-62.6929,310.4469,2211.0793,-36.7942,-98.0951,2477.2271,-27.6479,-306.0298,2512.5994,112.8058,144.6786,2360.3171,234.9025,267.0170,2145.1731,207.2272,504.7852,2041.1044,-212.4182,135.9354,2376.2083,-285.5754,282.9869,2151.5076,-267.8518,536.6483,2083.1599,97.8196,-388.0644,2579.3242,177.8240,-728.8990,2320.9482,245.4062,-1048.1854,2435.3232,-144.1579,-401.9075,2569.5762,-214.0125,-741.7961,2308.1814,-215.7004,-1043.3546,2458.1501,-0.59,-5.22,25.16,-26.06
14,-62.7643,301.6797,2208.7825,-36.2139,-105.7141,2476.6130,-26.7287,-313.3330,2513.6533,113.0421,137.1456,2359.4348,233.9213,257.9144,2142.7019,209.6228,493.6248,2033.2075,-212.5833,128.5305,2377.4014,-285.8655,271.4342,2150.0630,-268.7181,525.2124,2081.9749,99.3802,-394.5809,2580.0620,178.0039,-732.8160,2317.8765,245.8012,-1050.4948,2436.5547,-146.4879,-406.9806,2567.4253,-215.7854,-745.5569,2304.2476,-215.8637,-1045.8734,2456.6580,-0.49,-5.34,24.38,-26.37
15,-62.6987,293.5426,2206.6873,-35.6363,-112.8257,2476.0137,-25.7022,-320.2135,2514.1934,113.4662,130.0232,2358.6179,232.8302,249.5456,2140.3418,212.2418,483.0139,2025.3789,-212.6810,121.4721,2378.1284,-286.2975,260.5535,2148.5247,-269.1923,514.2577,2080.1216,100.6417,-400.9164,2580.8037,178.2394,-736.7533,2315.2402,246.1634,-1052.6625,2438.5288,-148.5259,-411.6260,2564.7180,-217.5220,-749.2699,2300.3074,-216.0311,-1048.1554,2455.4700,-0.41,-5.46,23.81,-26.61
16,-62.5357,285.9334,2204.8086,-35.0093,-119.5237,2475.4556,-24.6348,-326.7953,2514.1365,114.0324,123.2409,2357.8022,231.7008,241.7106,2138.0312,214.9700,472.7973,2017.7158,-212.6993,114.6341,2378.4023,-286.9136,250.4030,2147.0061,-269.3412,503.7643,2077.4431,101.5746,-407.0350,2581.5413,178.5712,-740.5632,2312.8833,246.5096,-1054.5502,2441.0315,-150.1851,-415.9846,2561.8381,-219.2154,-752.8140,2296.4307,-216.2579,-1050.1337,2454.5330,-0.37,-5.60,23.62,-26.79
