parent,child,length
head,torso,694.5978719740446
torso,waist,215.46848050109833
torso,l_shoulder,335.50521735354164
torso,r_shoulder,330.72840635418817
l_shoulder,l_elbow,263.2795514745072
l_elbow,l_wrist,254.2538444396915
r_shoulder,r_elbow,275.9623733228273
r_elbow,r_wrist,257.9791789797946
waist,l_hip,187.72659891900076
waist,r_hip,170.93579589568782
l_hip,l_knee,431.4868724944998
l_knee,l_ankle,409.28787721448407
r_hip,r_knee,422.0770623924118
r_knee,r_ankle,394.31541134323146
