parent,child,length
head,torso,418.86503615231385
torso,waist,177.11032624181973
torso,l_shoulder,288.39742672091757
torso,r_shoulder,292.4006048408864
l_shoulder,l_elbow,238.08157612266024
l_elbow,l_wrist,222.55996809421688
r_shoulder,r_elbow,238.8557933827542
r_elbow,r_wrist,222.72267631861484
waist,l_hip,104.07206108341697
waist,r_hip,106.3005799337351
l_hip,l_knee,364.11690040826
l_knee,l_ankle,344.03652213888256
r_hip,r_knee,365.3737546431052
r_knee,r_ankle,341.63696240340107
