frame,head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z,left_knee_valgus_deg,right_knee_valgus_deg,back_arch_deg,torso_lean_deg
0,-0.9235,325.8856,2201.8005,-4.3096,-86.9443,2272.4143,-10.3111,-263.1953,2292.5166,125.2334,167.2463,2228.1931,215.4714,380.1417,2169.9016,150.4677,590.8201,2140.1882,-127.5021,172.0643,2214.3962,-204.0993,388.9535,2149.1233,-147.6223,602.4725,2119.6970,55.9385,-343.5723,2297.1309,112.2226,-699.9883,2247.2346,142.7684,-1035.5536,2317.1663,-73.0611,-349.2822,2292.0413,-125.2539,-709.2572,2255.6489,-156.8407,-1045.5718,2307.5681,-1.81,-1.38,5.08,-8.75
1,-0.8520,319.7152,2201.2295,-4.9201,-92.4530,2275.8481,-9.9431,-268.6096,2296.1433,125.9423,160.3867,2228.9182,220.1673,368.9522,2162.9695,152.7034,579.2558,2135.4119,-128.9892,165.1957,2214.2202,-206.0279,379.8842,2142.9915,-145.8776,592.5948,2115.3584,56.8432,-348.4712,2301.2119,113.7742,-703.5430,2243.2542,144.7919,-1038.2056,2317.1924,-73.8154,-353.8062,2294.7778,-126.9150,-712.7669,2250.6689,-158.8055,-1048.3533,2306.9753,-1.83,-1.43,5.29,-9.16
2,-0.7698,312.8197,2200.5730,-5.4755,-98.5527,2279.5732,-9.5278,-274.6850,2300.0007,126.8290,152.8539,2229.4949,224.8896,356.8611,2155.6035,155.1479,566.6855,2130.0823,-130.5957,157.5426,2213.9089,-207.8964,369.8577,2136.2771,-144.0978,581.7103,2110.4629,57.7899,-354.0521,2305.6755,115.4861,-707.4636,2238.9404,146.9979,-1041.1133,2317.1982,-74.5651,-358.9617,2297.8589,-128.7720,-716.6096,2245.2017,-160.9389,-1051.3250,2306.4502,-1.86,-1.50,5.38,-9.61
3,-0.6782,304.7384,2199.8059,-5.9697,-105.6653,2283.7192,-9.0313,-281.8195,2304.2166,127.9429,144.1032,2229.8943,229.6764,343.0055,2147.5229,157.9237,552.3740,2123.8879,-132.3642,148.5610,2213.4111,-209.7025,358.1297,2128.6865,-142.2804,569.0781,2104.7251,58.8172,-360.6913,2310.6719,117.4477,-711.9758,2234.1411,149.4806,-1044.4353,2317.2009,-75.3207,-365.1121,2301.4478,-130.9387,-720.9847,2239.0332,-163.3300,-1054.5906,2306.0752,-1.91,-1.60,5.33,-10.09
4,-0.5874,295.6149,2198.9805,-6.3589,-113.6990,2288.0559,-8.4783,-289.9077,2308.5339,129.2528,134.2374,2230.0632,234.1642,327.7144,2139.1262,160.9065,536.7412,2117.0437,-134.1992,138.3784,2212.7241,-211.3258,344.8999,2120.5945,-140.5882,554.9581,2098.3582,59.9364,-368.2441,2315.8997,119.6151,-716.9791,2229.0959,152.1486,-1048.0916,2317.2771,-76.0803,-372.1522,2305.3992,-133.3684,-725.7734,2232.4727,-165.8942,-1058.0001,2306.0823,-1.97,-1.73,5.12,-10.60
5,-0.5164,285.7073,2198.0469,-6.6306,-122.4427,2292.3037,-7.9011,-298.7162,2312.7493,130.7063,123.5202,2229.9907,238.0359,311.6255,2130.8958,163.9187,520.4712,2109.8950,-136.0038,127.2976,2211.8801,-212.7061,330.6227,2112.5117,-139.1745,539.8814,2091.7192,61.1904,-376.4119,2320.9917,121.9317,-722.3123,2224.0588,154.8877,-1051.9479,2317.5447,-76.8816,-379.8387,2309.4780,-135.9704,-730.8228,2225.9050,-168.5245,-1061.3832,2306.7354,-2.04,-1.88,4.82,-11.10
6,-0.4768,275.1876,2196.9219,-6.7944,-131.7595,2296.2649,-7.3440,-308.0786,2316.7661,132.2539,112.1499,2229.7039,241.1465,295.2508,2123.1594,166.8256,504.0895,2102.7385,-137.7273,115.5598,2210.9333,-213.8665,315.7035,2104.8418,-138.1232,524.2876,2085.1401,62.6316,-384.9454,2325.6880,124.3898,-727.8589,2219.1504,157.6143,-1055.8857,2318.1138,-77.7825,-387.9740,2313.4739,-138.6624,-736.0624,2219.5845,-171.1378,-1064.6392,2308.2212,-2.13,-2.05,4.58,-11.61
7,-0.4844,264.1629,2195.5520,-6.8868,-141.5606,2299.8152,-6.8461,-317.8946,2320.5210,133.8501,100.2659,2229.2473,243.4769,278.9426,2116.1064,169.5349,487.9350,2095.8042,-139.3580,103.3429,2209.9417,-214.8764,300.4569,2097.8628,-137.4537,508.5015,2078.8911,64.2820,-393.6789,2329.8459,127.0042,-733.5394,2214.3752,160.2649,-1059.7993,2319.0503,-78.8314,-396.4264,2317.2175,-141.3563,-741.4868,2213.6326,-173.6651,-1067.7319,2310.5894,-2.23,-2.21,4.46,-12.12
8,-0.5420,252.6976,2193.9194,-6.9457,-151.8017,2302.8853,-6.4327,-328.1137,2323.9817,135.4533,87.9624,2228.6704,245.0964,262.8915,2109.8074,171.9809,472.1588,2089.2722,-140.9128,90.7719,2208.9619,-215.8306,285.1154,2091.7283,-137.1338,492.7260,2073.1804,66.1188,-402.5384,2333.4189,129.8092,-739.3094,2209.6675,162.7894,-1063.6108,2320.3611,-80.0580,-405.1266,2320.5930,-143.9718,-747.1343,2208.0532,-176.0495,-1070.6823,2313.7432,-2.36,-2.35,4.54,-12.62
9,-0.6591,240.8446,2192.0991,-7.0151,-162.4676,2305.4360,-6.1233,-338.7268,2327.0693,137.0191,75.3011,2228.0186,246.1289,247.1407,2104.2405,174.1051,456.7491,2083.2593,-142.4329,77.9290,2208.0352,-216.8432,269.8089,2086.4854,-137.1034,477.0444,2068.1284,68.0819,-411.5242,2336.4221,132.8162,-745.1613,2204.9438,165.1482,-1067.2867,2321.9971,-81.4772,-414.0544,2323.5203,-146.4271,-753.0686,2202.7808,-178.2480,-1073.5579,2317.4766,-2.53,-2.47,4.75,-13.11
10,-0.8295,228.6741,2190.3018,-7.1445,-173.5663,2307.4380,-5.9181,-349.7651,2329.6052,138.5062,62.3221,2227.3311,246.7213,231.6141,2099.3179,175.8426,441.5700,2077.8430,-143.9644,64.8586,2207.1943,-218.0514,254.5775,2082.0903,-137.3096,461.4329,2063.7744,70.0949,-420.6813,2338.8896,136.0129,-751.1304,2200.1443,167.3130,-1070.8461,2323.8801,-83.0941,-423.2242,2325.9387,-148.6637,-759.3587,2197.7100,-180.2350,-1076.4558,2321.5320,-2.75,-2.55,4.94,-13.54
11,-1.0617,216.2385,2188.6975,-7.3713,-185.1217,2308.8594,-5.8283,-361.2677,2331.4375,139.8638,49.0482,2226.6433,247.0173,216.1562,2094.9075,177.1156,426.4076,2073.0432,-145.5664,51.5832,2206.4480,-219.6179,239.3665,2078.4309,-137.7429,445.7762,2060.0615,72.0857,-430.0724,2340.8411,139.3296,-757.2913,2195.2593,169.2686,-1074.3619,2325.9353,-84.9051,-432.6705,2327.7859,-150.6480,-766.0853,2192.7302,-182.0029,-1079.4854,2325.6687,-3.00,-2.59,4.96,-13.88
12,-1.3567,203.5600,2187.3896,-7.7385,-197.1705,2309.6697,-5.8504,-373.2837,2332.4521,141.0501,35.4886,2225.9783,247.1322,200.5682,2090.8542,177.8348,411.0085,2068.8213,-147.2902,38.0886,2205.7959,-221.7252,224.0340,2075.3313,-138.4634,429.8806,2056.8484,74.0046,-439.7575,2342.2568,142.6622,-763.7725,2190.3230,171.0120,-1077.9543,2328.1208,-86.9035,-442.4366,2328.9824,-152.3815,-773.3210,2187.7410,-183.5587,-1082.7473,2329.7153,-3.28,-2.58,4.70,-14.12
13,-1.7415,190.6147,2186.4106,-8.2574,-209.7729,2309.8386,-5.9926,-385.8809,2332.5522,142.0217,21.6258,2225.3501,247.1358,184.6324,2086.9895,177.9066,395.1095,2065.0491,-149.1863,24.3240,2205.2183,-224.5547,208.3428,2072.5759,-139.6090,413.4854,2053.8972,75.8363,-449.7862,2343.0649,145.8795,-770.7372,2185.3982,172.5473,-1081.7802,2330.4519,-89.0848,-452.5695,2329.4209,-153.9004,-781.1619,2182.6599,-184.9176,-1086.3195,2333.6077,-3.57,-2.53,4.11,-14.22
14,-2.2477,177.3199,2185.7305,-8.9260,-223.0177,2309.3489,-6.2407,-399.1527,2331.6677,142.7519,7.4102,2224.7559,247.0416,168.1284,2083.1414,177.2494,378.4520,2061.5068,-151.2868,10.1774,2204.6895,-228.2561,191.9742,2069.9202,-141.3805,396.2749,2050.9021,77.5988,-460.2031,2343.1375,148.8575,-778.4053,2180.5496,173.8800,-1086.0142,2333.0103,-91.4457,-463.1205,2328.9670,-155.2698,-789.7094,2177.4260,-186.0952,-1090.2433,2337.4028,-3.83,-2.45,3.21,-14.21
15,-2.9295,163.5340,2185.2693,-9.7079,-237.0259,2308.1938,-6.5844,-413.2210,2329.7471,143.2201,-7.2461,2224.1770,246.8118,150.8320,2079.1375,175.8179,360.7887,2057.8774,-153.6123,-4.5172,2204.1697,-232.9096,174.5404,2067.1167,-143.9941,377.9037,2047.5059,79.3297,-471.0636,2342.3030,151.5051,-787.0204,2175.8306,175.0158,-1090.8296,2335.9390,-93.9756,-474.1516,2327.4722,-156.5679,-799.1009,2172.0005,-187.1002,-1094.5199,2341.2615,-4.04,-2.34,2.03,-14.06
16,-3.8342,149.0757,2184.9131,-10.5494,-251.9402,2306.3850,-6.9927,-428.2227,2326.7817,143.4205,-22.4569,2223.5740,246.3770,132.5145,2074.8081,173.6324,341.8928,2053.8025,-156.1659,-19.9673,2203.6157,-238.4939,155.6409,2063.9399,-147.6216,358.0378,2043.3738,81.0641,-482.4504,2340.3877,153.7872,-796.8480,2171.2717,175.9590,-1096.3647,2339.4255,-96.6447,-485.7412,2324.8118,-157.8800,-809.4769,2166.3696,-187.9332,-1099.1104,2345.3992,-4.19,-2.22,0.66,-13.81
17,-5.0033,133.7727,2184.5320,-11.3871,-267.8712,2303.9592,-7.4397,-444.2693,2322.8149,143.3495,-38.3305,2222.8928,245.6681,112.9817,2070.0105,170.8074,321.5987,2048.9280,-158.9363,-36.3743,2202.9827,-244.8635,134.9482,2060.2188,-152.3163,336.4300,2038.2491,82.8110,-494.4677,2337.2661,155.7305,-808.1025,2166.8813,176.7212,-1102.6774,2343.6628,-99.3930,-497.9718,2320.9338,-159.2768,-820.9652,2160.5459,-188.5909,-1103.9290,2350.0137,-4.26,-2.11,0.80,-13.45
18,-6.4426,117.5362,2183.9924,-12.1610,-284.8445,2301.0034,-7.8958,-461.3730,2317.9788,143.0091,-54.9037,2222.0642,244.6490,92.1406,2064.6692,167.5559,299.8796,2043.0077,-161.9035,-53.8470,2202.2246,-251.7429,112.3276,2055.8726,-157.9627,313.0220,2032.0400,84.5373,-507.1980,2332.9253,157.4120,-820.8783,2162.6641,177.3104,-1109.6913,2348.7983,-102.1277,-510.8889,2315.9133,-160.8222,-833.5932,2154.5818,-189.0776,-1108.8356,2355.2124,-4.28,-2.01,2.20,-13.03
19,-8.1301,100.4303,2183.1785,-12.8373,-302.7055,2297.6663,-8.3439,-479.3756,2312.5059,142.4000,-72.0824,2221.0220,243.3423,70.0996,2058.8149,164.1773,276.9263,2035.9535,-165.0282,-72.3315,2201.3145,-258.7581,87.9601,2050.9268,-164.2656,288.0364,2024.8494,86.1684,-520.6442,2327.5156,158.9385,-835.0662,2158.6353,177.7430,-1117.1599,2354.8792,-104.7317,-524.4501,2309.9856,-162.5560,-847.2410,2148.5725,-189.4095,-1113.6328,2360.9548,-4.25,-1.96,3.43,-12.57
20,-10.0033,82.7061,2182.0076,-13.4141,-321.1137,2294.1770,-8.7726,-497.9183,2306.7234,141.5276,-89.6152,2219.7097,241.8392,47.2130,2052.6050,161.0077,253.1788,2027.8967,-168.2689,-91.5590,2200.2354,-265.4990,62.3810,2045.5261,-170.7837,262.0136,2016.9851,87.6080,-534.6840,2321.3691,160.4183,-850.3156,2154.8223,178.0299,-1124.6761,2361.8149,-107.0928,-538.4898,2303.5359,-164.5037,-861.5922,2142.6509,-189.6290,-1118.0939,2367.0464,-4.23,-1.95,4.37,-12.12
21,-11.9868,64.7790,2180.4478,-13.9389,-339.5593,2290.8235,-9.1867,-516.4845,2301.0100,140.3980,-107.1269,2218.1057,240.2863,24.0602,2046.3038,158.3490,229.2782,2019.1621,-171.5730,-111.0766,2199.0002,-271.6090,36.4426,2039.9031,-177.0151,235.7590,2008.8801,88.7710,-549.0564,2314.9680,161.9443,-866.0718,2151.2561,178.1928,-1131.7361,2369.3740,-109.1371,-552.7171,2297.0471,-166.6665,-876.1795,2136.9587,-189.7913,-1122.0078,2373.1777,-4.22,-2.00,4.97,-11.72
22,-13.9945,47.1569,2178.5259,-14.4942,-357.4687,2287.9072,-9.6012,-534.4904,2295.7307,139.0208,-124.1869,2216.2300,238.8446,1.3478,2040.2264,156.4026,205.9529,2010.1931,-174.8920,-130.3178,2197.6406,-276.8476,11.1541,2034.3368,-182.5091,210.2120,2000.9977,89.6031,-563.3864,2308.8428,163.5719,-881.6602,2147.9683,178.2566,-1137.8566,2377.2173,-110.8570,-566.7500,2290.9907,-169.0252,-890.4468,2131.6279,-189.9753,-1125.2322,2379.0076,-4.26,-2.10,5.26,-11.39
23,-15.9583,30.3604,2176.3306,-15.1794,-374.2867,2285.6790,-10.0466,-551.3768,2291.1572,137.4125,-140.3722,2214.1443,237.6364,-20.2104,2034.6589,155.2257,183.9073,2001.4387,-178.1762,-148.6943,2196.2095,-281.1082,-12.4905,2029.0903,-186.9525,186.2943,1993.6987,90.0862,-577.2288,2303.4558,165.3167,-896.4185,2144.9956,178.2621,-1142.6941,2384.9548,-112.3006,-580.1592,2285.7397,-171.5337,-903.8589,2126.7798,-190.2601,-1127.7258,2384.2476,-4.35,-2.24,5.41,-11.17
