frame,head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z,left_knee_valgus_deg,right_knee_valgus_deg,back_arch_deg,torso_lean_deg
0,-61.0028,334.5561,2153.2434,-51.7173,-79.3752,2226.9756,-42.5229,-257.0064,2200.3389,111.9219,184.4048,2197.4609,84.7205,413.2494,2098.8037,76.6461,639.6072,2038.5707,-218.7794,157.3806,2191.6541,-264.6598,363.6702,2056.8174,-248.1013,586.3171,1985.5115,57.2955,-282.6574,2206.8047,101.1986,-642.8149,2073.7522,140.5088,-956.4452,2232.8904,-141.0437,-287.3813,2197.8794,-146.3705,-653.8957,2075.2439,-180.1556,-971.1863,2228.3064,0.09,2.44,12.62,-4.55
1,-58.5903,332.0524,2152.9900,-51.5461,-81.8281,2227.3687,-42.5348,-259.3937,2200.4592,110.9076,182.5766,2197.3958,85.2050,411.3902,2098.3179,76.5425,637.7363,2038.1396,-217.2786,155.7413,2191.6626,-265.2530,361.2028,2056.3420,-247.8858,583.7905,1985.0560,57.5755,-283.8879,2206.7549,101.5967,-643.6202,2072.5894,140.8144,-957.3530,2231.5620,-141.1535,-289.4355,2198.1021,-147.1237,-655.0719,2072.9873,-180.3186,-972.0327,2226.8582,0.07,2.34,12.75,-4.59
2,-56.0252,329.2677,2152.7759,-51.3869,-84.5417,2227.7954,-42.5338,-262.0411,2200.5618,109.8117,180.5281,2197.3386,85.7941,409.3361,2097.8572,76.4360,635.6562,2037.6998,-215.6832,153.9055,2191.6492,-265.8531,358.5619,2055.9285,-247.6881,581.0895,1984.6763,57.8614,-285.3615,2206.7002,102.0793,-644.5756,2071.2134,141.1498,-958.3698,2230.1184,-141.2659,-291.7032,2198.3208,-148.0352,-656.3242,2070.3879,-180.5107,-972.8998,2225.2009,0.04,2.23,12.93,-4.62
3,-53.2431,326.0327,2152.6233,-51.2480,-87.6924,2228.2798,-42.5120,-265.1155,2200.6301,108.5908,178.1119,2197.2903,86.5769,406.9507,2097.4419,76.3385,633.2182,2037.2401,-213.9485,151.7385,2191.5935,-266.4651,355.6186,2055.6140,-247.5060,578.0982,1984.4149,58.1555,-287.2407,2206.6384,102.7052,-645.7863,2069.4927,141.5326,-959.5668,2228.4968,-141.3789,-294.3203,2198.5322,-149.2074,-657.7072,2067.2380,-180.7422,-973.8066,2223.2161,-0.01,2.08,13.21,-4.64
4,-50.4271,322.3827,2152.5837,-51.1551,-91.2468,2228.7925,-42.4661,-268.5851,2200.6458,107.2771,175.3175,2197.2576,87.6084,404.2385,2097.1216,76.2985,630.4101,2036.7596,-212.1613,149.2161,2191.4800,-267.0650,352.4330,2055.4502,-247.3633,574.8773,1984.3536,58.4440,-289.5934,2206.5791,103.5042,-647.2924,2067.4001,141.9532,-960.9404,2226.7686,-141.4889,-297.2604,2198.7163,-150.6762,-659.1876,2063.5554,-181.0206,-974.7111,2220.9275,-0.09,1.88,13.63,-4.65
5,-47.7841,318.3691,2152.6780,-51.1164,-95.1728,2229.3101,-42.3934,-272.4153,2200.5928,105.9093,172.1483,2197.2373,88.9485,401.1952,2096.9048,76.3893,627.2109,2036.2227,-210.4169,146.3169,2191.2917,-267.6512,349.0156,2055.4524,-247.2491,571.4500,1984.5120,58.7087,-292.4586,2206.5310,104.4940,-649.1204,2064.9421,142.3978,-962.4748,2225.0234,-141.5856,-300.5013,2198.8604,-152.4395,-660.7529,2059.4197,-181.3426,-975.5964,2218.4189,-0.19,1.64,14.20,-4.64
6,-45.4573,313.9611,2152.9077,-51.1221,-99.5056,2229.8037,-42.2994,-276.6433,2200.4795,104.4991,168.5676,2197.2178,90.6475,397.7506,2096.7317,76.7089,623.5397,2035.5164,-208.7585,142.9604,2191.0276,-268.2711,345.2733,2055.5781,-247.1452,567.7051,1984.8462,58.9494,-295.8946,2206.5066,105.6892,-651.3049,2062.1111,142.8565,-964.1655,2223.3274,-141.6712,-304.0925,2198.9663,-154.4848,-662.4556,2054.8987,-181.7002,-976.4918,2215.7805,-0.33,1.36,14.92,-4.61
7,-43.5362,309.0776,2153.2402,-51.1382,-104.3353,2230.2634,-42.1919,-281.3676,2200.3208,103.0340,164.5065,2197.1780,92.7379,393.7818,2096.4807,77.3671,619.2588,2034.4719,-207.1998,139.0357,2190.6846,-268.9936,341.0257,2055.7673,-247.0014,563.4446,1985.2380,59.1632,-299.9773,2206.5134,107.0949,-653.8929,2058.8752,143.3201,-966.0142,2221.7275,-141.7468,-308.1443,2199.0464,-156.7799,-664.3930,2050.0349,-182.0890,-977.4526,2213.1167,-0.51,1.03,15.78,-4.56
8,-42.0746,303.5999,2153.6326,-51.1339,-109.7742,2230.6792,-42.0850,-286.7064,2200.1482,101.5084,159.8810,2197.0872,95.2177,389.1251,2095.9851,78.4765,614.1942,2032.8533,-205.7294,134.4120,2190.2715,-269.8996,336.0668,2055.9407,-246.7779,558.4116,1985.5258,59.3455,-304.8053,2206.5618,108.6976,-656.9412,2055.1897,143.7792,-968.0253,2220.2576,-141.8212,-312.7991,2199.1174,-159.2871,-666.6945,2044.8550,-182.4881,-978.5483,2210.5381,-0.72,0.67,16.74,-4.51
9,-41.1128,297.4261,2154.0176,-51.0861,-115.9224,2231.0588,-42.0005,-292.7711,2199.9941,99.9179,154.5979,2196.9045,98.0195,383.6035,2095.0718,80.1225,608.1571,2030.4060,-204.3391,128.9891,2189.7952,-271.0517,330.2032,2056.0234,-246.4265,552.3661,1985.5104,59.4814,-310.4807,2206.6572,110.4578,-660.5116,2051.0095,144.2188,-970.2003,2218.9443,-141.9087,-318.2018,2199.1946,-161.9564,-669.4846,2039.3816,-182.8797,-979.8372,2208.1550,-0.96,0.28,17.70,-4.45
10,-40.6961,290.5043,2154.3254,-51.0031,-122.8170,2231.4119,-41.9690,-299.6014,2199.9031,98.2911,148.5925,2196.5864,101.0185,377.0794,2093.5764,82.3396,600.9890,2026.8889,-203.0324,122.7313,2189.2698,-272.4791,323.3256,2055.9343,-245.9295,545.1407,1984.9865,59.5365,-317.0757,2206.8064,112.2990,-664.6484,2046.3325,144.6229,-972.5390,2217.8103,-142.0246,-324.4445,2199.2944,-164.7318,-672.8571,2033.6659,-183.2377,-981.3599,2206.0701,-1.23,-0.14,18.57,-4.42
11,-40.8822,282.8906,2154.4651,-50.9192,-130.3858,2231.7563,-42.0277,-307.1328,2199.9153,96.6816,141.8708,2196.0796,104.0176,369.5047,2091.3757,85.0781,592.6315,2022.1353,-201.8391,115.7126,2188.7075,-274.1594,315.4532,2055.5869,-245.2804,536.7072,1983.7629,59.4682,-324.5862,2207.0190,114.1130,-669.3543,2041.2197,144.9692,-975.0295,2216.8713,-142.1956,-331.5261,2199.4280,-167.5441,-676.8412,2027.8074,-183.5315,-983.1208,2204.3708,-1.50,-0.57,19.20,-4.40
