parent,child,length
head,torso,420.46611746244025
torso,waist,179.8424620838694
torso,l_shoulder,311.85497346160184
torso,r_shoulder,291.9563626940454
l_shoulder,l_elbow,250.73892952471584
l_elbow,l_wrist,234.42673329605557
r_shoulder,r_elbow,250.73888671209326
r_elbow,r_wrist,234.42705757638126
waist,l_hip,103.22935354753945
waist,r_hip,103.09545997445476
l_hip,l_knee,386.42750813217845
l_knee,l_ankle,353.89304157343906
r_hip,r_knee,386.42761540781476
r_knee,r_ankle,353.89330653242087
