head_x,head_y,head_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z,l_hip_x,l_hip_y,l_hip_z,l_knee_x,l_knee_y,l_knee_z,l_ankle_x,l_ankle_y,l_ankle_z,r_hip_x,r_hip_y,r_hip_z,r_knee_x,r_knee_y,r_knee_z,r_ankle_x,r_ankle_y,r_ankle_z
-6.100275802612304688e+01,3.345560607910156250e+02,2.153243408203125000e+03,-5.171728897094726562e+01,-7.937520599365234375e+01,2.226975585937500000e+03,-4.252288055419921875e+01,-2.570064392089843750e+02,2.200338867187500000e+03,1.119218521118164062e+02,1.844048004150390625e+02,2.197460937500000000e+03,8.472047424316406250e+01,4.132494201660156250e+02,2.098803710937500000e+03,7.664609527587890625e+01,6.396072387695312500e+02,2.038570678710937500e+03,-2.187794494628906250e+02,1.573805541992187500e+02,2.191654052734375000e+03,-2.646597900390625000e+02,3.636701660156250000e+02,2.056817382812500000e+03,-2.481013488769531250e+02,5.863170776367187500e+02,1.985511474609375000e+03,5.729547882080078125e+01,-2.826573791503906250e+02,2.206804687500000000e+03,1.011986007690429688e+02,-6.428148803710937500e+02,2.073752197265625000e+03,1.405088043212890625e+02,-9.564451904296875000e+02,2.232890380859375000e+03,-1.410437469482421875e+02,-2.873812866210937500e+02,2.197879394531250000e+03,-1.463704528808593750e+02,-6.538956909179687500e+02,2.075243896484375000e+03,-1.801556396484375000e+02,-9.711863403320312500e+02,2.228306396484375000e+03
-5.859033203125000000e+01,3.320524291992187500e+02,2.152989990234375000e+03,-5.154611206054687500e+01,-8.182805633544921875e+01,2.227368652343750000e+03,-4.253476333618164062e+01,-2.593937072753906250e+02,2.200459228515625000e+03,1.109076309204101562e+02,1.825766296386718750e+02,2.197395751953125000e+03,8.520501708984375000e+01,4.113902282714843750e+02,2.098317871093750000e+03,7.654251861572265625e+01,6.377362670898437500e+02,2.038139648437500000e+03,-2.172786254882812500e+02,1.557413330078125000e+02,2.191662597656250000e+03,-2.652529907226562500e+02,3.612027893066406250e+02,2.056342041015625000e+03,-2.478858337402343750e+02,5.837905273437500000e+02,1.985056030273437500e+03,5.757550430297851562e+01,-2.838878784179687500e+02,2.206754882812500000e+03,1.015966644287109375e+02,-6.436201782226562500e+02,2.072589355468750000e+03,1.408143768310546875e+02,-9.573530273437500000e+02,2.231562011718750000e+03,-1.411535186767578125e+02,-2.894354553222656250e+02,2.198102050781250000e+03,-1.471237487792968750e+02,-6.550718994140625000e+02,2.072987304687500000e+03,-1.803186035156250000e+02,-9.720327148437500000e+02,2.226858154296875000e+03
-5.602524948120117188e+01,3.292677307128906250e+02,2.152775878906250000e+03,-5.138686370849609375e+01,-8.454172515869140625e+01,2.227795410156250000e+03,-4.253375625610351562e+01,-2.620411071777343750e+02,2.200561767578125000e+03,1.098117218017578125e+02,1.805280914306640625e+02,2.197338623046875000e+03,8.579408264160156250e+01,4.093360900878906250e+02,2.097857177734375000e+03,7.643604278564453125e+01,6.356562500000000000e+02,2.037699829101562500e+03,-2.156832427978515625e+02,1.539055328369140625e+02,2.191649169921875000e+03,-2.658531188964843750e+02,3.585619201660156250e+02,2.055928466796875000e+03,-2.476880645751953125e+02,5.810895385742187500e+02,1.984676269531250000e+03,5.786142730712890625e+01,-2.853615417480468750e+02,2.206700195312500000e+03,1.020793151855468750e+02,-6.445756225585937500e+02,2.071213378906250000e+03,1.411497802734375000e+02,-9.583698120117187500e+02,2.230118408203125000e+03,-1.412659301757812500e+02,-2.917031860351562500e+02,2.198320800781250000e+03,-1.480352325439453125e+02,-6.563241577148437500e+02,2.070387939453125000e+03,-1.805106506347656250e+02,-9.728998413085937500e+02,2.225200927734375000e+03
-5.324314117431640625e+01,3.260327148437500000e+02,2.152623291015625000e+03,-5.124798583984375000e+01,-8.769239044189453125e+01,2.228279785156250000e+03,-4.251199722290039062e+01,-2.651155090332031250e+02,2.200630126953125000e+03,1.085908279418945312e+02,1.781119384765625000e+02,2.197290283203125000e+03,8.657692718505859375e+01,4.069507446289062500e+02,2.097441894531250000e+03,7.633854675292968750e+01,6.332182006835937500e+02,2.037240112304687500e+03,-2.139485473632812500e+02,1.517385406494140625e+02,2.191593505859375000e+03,-2.664651184082031250e+02,3.556185913085937500e+02,2.055614013671875000e+03,-2.475059661865234375e+02,5.780982055664062500e+02,1.984414916992187500e+03,5.815546798706054688e+01,-2.872406921386718750e+02,2.206638427734375000e+03,1.027051773071289062e+02,-6.457862548828125000e+02,2.069492675781250000e+03,1.415325927734375000e+02,-9.595668334960937500e+02,2.228496826171875000e+03,-1.413789215087890625e+02,-2.943202514648437500e+02,2.198532226562500000e+03,-1.492074127197265625e+02,-6.577071533203125000e+02,2.067238037109375000e+03,-1.807421569824218750e+02,-9.738065795898437500e+02,2.223216064453125000e+03
-5.042707443237304688e+01,3.223826599121093750e+02,2.152583740234375000e+03,-5.115511322021484375e+01,-9.124677276611328125e+01,2.228792480468750000e+03,-4.246609497070312500e+01,-2.685851135253906250e+02,2.200645751953125000e+03,1.072771453857421875e+02,1.753175354003906250e+02,2.197257568359375000e+03,8.760842132568359375e+01,4.042385253906250000e+02,2.097121582031250000e+03,7.629852294921875000e+01,6.304100952148437500e+02,2.036759643554687500e+03,-2.121613159179687500e+02,1.492161407470703125e+02,2.191479980468750000e+03,-2.670650329589843750e+02,3.524329528808593750e+02,2.055450195312500000e+03,-2.473633117675781250e+02,5.748772583007812500e+02,1.984353637695312500e+03,5.844395828247070312e+01,-2.895933532714843750e+02,2.206579101562500000e+03,1.035041961669921875e+02,-6.472924194335937500e+02,2.067400146484375000e+03,1.419532165527343750e+02,-9.609403686523437500e+02,2.226768554687500000e+03,-1.414888610839843750e+02,-2.972604370117187500e+02,2.198716308593750000e+03,-1.506762390136718750e+02,-6.591875610351562500e+02,2.063555419921875000e+03,-1.810206298828125000e+02,-9.747110595703125000e+02,2.220927490234375000e+03
-4.778409194946289062e+01,3.183691406250000000e+02,2.152677978515625000e+03,-5.111640167236328125e+01,-9.517284393310546875e+01,2.229310058593750000e+03,-4.239338684082031250e+01,-2.724152526855468750e+02,2.200592773437500000e+03,1.059092941284179688e+02,1.721483001708984375e+02,2.197237304687500000e+03,8.894847106933593750e+01,4.011951904296875000e+02,2.096904785156250000e+03,7.638927459716796875e+01,6.272109375000000000e+02,2.036222656250000000e+03,-2.104168548583984375e+02,1.463168640136718750e+02,2.191291748046875000e+03,-2.676512451171875000e+02,3.490155639648437500e+02,2.055452392578125000e+03,-2.472491302490234375e+02,5.714499511718750000e+02,1.984511962890625000e+03,5.870874786376953125e+01,-2.924586181640625000e+02,2.206531005859375000e+03,1.044940185546875000e+02,-6.491203613281250000e+02,2.064942138671875000e+03,1.423978118896484375e+02,-9.624747924804687500e+02,2.225023437500000000e+03,-1.415855712890625000e+02,-3.005012512207031250e+02,2.198860351562500000e+03,-1.524395141601562500e+02,-6.607528686523437500e+02,2.059419677734375000e+03,-1.813425750732421875e+02,-9.755964355468750000e+02,2.218418945312500000e+03
-4.545729827880859375e+01,3.139610900878906250e+02,2.152907714843750000e+03,-5.112205123901367188e+01,-9.950558471679687500e+01,2.229803710937500000e+03,-4.229937744140625000e+01,-2.766433410644531250e+02,2.200479492187500000e+03,1.044991455078125000e+02,1.685676116943359375e+02,2.197217773437500000e+03,9.064746093750000000e+01,3.977505798339843750e+02,2.096731689453125000e+03,7.670889282226562500e+01,6.235396728515625000e+02,2.035516357421875000e+03,-2.087584686279296875e+02,1.429604339599609375e+02,2.191027587890625000e+03,-2.682710571289062500e+02,3.452732849121093750e+02,2.055578125000000000e+03,-2.471451721191406250e+02,5.677050781250000000e+02,1.984846191406250000e+03,5.894938278198242188e+01,-2.958945922851562500e+02,2.206506591796875000e+03,1.056892089843750000e+02,-6.513049316406250000e+02,2.062111083984375000e+03,1.428564910888671875e+02,-9.641654663085937500e+02,2.223327392578125000e+03,-1.416711730957031250e+02,-3.040924987792968750e+02,2.198966308593750000e+03,-1.544847869873046875e+02,-6.624555664062500000e+02,2.054898681640625000e+03,-1.817002410888671875e+02,-9.764918212890625000e+02,2.215780517578125000e+03
-4.353619766235351562e+01,3.090776062011718750e+02,2.153240234375000000e+03,-5.113819122314453125e+01,-1.043352661132812500e+02,2.230263427734375000e+03,-4.219185638427734375e+01,-2.813675842285156250e+02,2.200320800781250000e+03,1.030339584350585938e+02,1.645064849853515625e+02,2.197177978515625000e+03,9.273789215087890625e+01,3.937817687988281250e+02,2.096480712890625000e+03,7.736713409423828125e+01,6.192587890625000000e+02,2.034471923828125000e+03,-2.071998443603515625e+02,1.390356750488281250e+02,2.190684570312500000e+03,-2.689935607910156250e+02,3.410256958007812500e+02,2.055767333984375000e+03,-2.470013732910156250e+02,5.634445800781250000e+02,1.985238037109375000e+03,5.916323471069335938e+01,-2.999773254394531250e+02,2.206513427734375000e+03,1.070949401855468750e+02,-6.538928833007812500e+02,2.058875244140625000e+03,1.433200683593750000e+02,-9.660141601562500000e+02,2.221727539062500000e+03,-1.417467651367187500e+02,-3.081443481445312500e+02,2.199046386718750000e+03,-1.567799072265625000e+02,-6.643930053710937500e+02,2.050034912109375000e+03,-1.820889587402343750e+02,-9.774525756835937500e+02,2.213116699218750000e+03
-4.207463073730468750e+01,3.035999450683593750e+02,2.153632568359375000e+03,-5.113385009765625000e+01,-1.097741851806640625e+02,2.230679199218750000e+03,-4.208502960205078125e+01,-2.867064208984375000e+02,2.200148193359375000e+03,1.015084304809570312e+02,1.598809509277343750e+02,2.197087158203125000e+03,9.521773529052734375e+01,3.891251220703125000e+02,2.095985107421875000e+03,7.847654724121093750e+01,6.141941528320312500e+02,2.032853271484375000e+03,-2.057294464111328125e+02,1.344120330810546875e+02,2.190271484375000000e+03,-2.698995666503906250e+02,3.360668334960937500e+02,2.055940673828125000e+03,-2.467779235839843750e+02,5.584115600585937500e+02,1.985525756835937500e+03,5.934548568725585938e+01,-3.048053283691406250e+02,2.206561767578125000e+03,1.086976013183593750e+02,-6.569412231445312500e+02,2.055189697265625000e+03,1.437791900634765625e+02,-9.680253295898437500e+02,2.220257568359375000e+03,-1.418212432861328125e+02,-3.127991027832031250e+02,2.199117431640625000e+03,-1.592871093750000000e+02,-6.666945190429687500e+02,2.044854980468750000e+03,-1.824881286621093750e+02,-9.785482788085937500e+02,2.210538085937500000e+03
-4.111282730102539062e+01,2.974261169433593750e+02,2.154017578125000000e+03,-5.108608627319335938e+01,-1.159224319458007812e+02,2.231058837890625000e+03,-4.200046157836914062e+01,-2.927710571289062500e+02,2.199994140625000000e+03,9.991794586181640625e+01,1.545979461669921875e+02,2.196904541015625000e+03,9.801951599121093750e+01,3.836034851074218750e+02,2.095071777343750000e+03,8.012247467041015625e+01,6.081571044921875000e+02,2.030406005859375000e+03,-2.043390808105468750e+02,1.289890747070312500e+02,2.189795166015625000e+03,-2.710516662597656250e+02,3.302032165527343750e+02,2.056023437500000000e+03,-2.464265136718750000e+02,5.523660888671875000e+02,1.985510375976562500e+03,5.948136520385742188e+01,-3.104806518554687500e+02,2.206657226562500000e+03,1.104577560424804688e+02,-6.605115966796875000e+02,2.051009521484375000e+03,1.442188110351562500e+02,-9.702002563476562500e+02,2.218944335937500000e+03,-1.419086608886718750e+02,-3.182017822265625000e+02,2.199194580078125000e+03,-1.619563903808593750e+02,-6.694846191406250000e+02,2.039381591796875000e+03,-1.828797149658203125e+02,-9.798371582031250000e+02,2.208155029296875000e+03
